sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
291595,PS3005-154 OFFWHITE ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,12,0
509930,PS3005-154 OFFWHITE ??? ???? ?????,,,14.3,25,22,1,???? ???? PS,ritver,8,0
178787766,PS3005-154 OFFWHITE ??? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,6,0
46829,PS3005-227 manga fruit ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,14,0
840923,PS3005-227 manga fruit ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
932085008,PS3005-229 ??? ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
609468253,PS3005-533 ???? ???? fresh ?????,,,14.3,25,22,1,???? ???? PS,ritver,0,0
7028198,PS3005-533 ???? ???? fresh ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
8662864,PS3005-639 verde ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
53700297,PS3005-639 verde ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
51482552,PS3005-640 ???? ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
409780,PS3005-640 ???? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,3,0
454271390,PS3005-723 silver grey ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
186273,PS3005-723 silver grey ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
2260082,PS3005-727 storm grey ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
47071,PS3005-727 ????? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
647482618,PS3005-824 caramel???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
708753,PS3005-824 ???? ??????? ????,,,14.3,25,22,1,???? ???? PS,ritver,3,0
21862356,PS3005-825 brown  ???? ????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
4839098,PS3005-825 brown ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
677324744,PS3005-FERRARI- ???? ???? ?????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
827531378,PS3005-FERRARI- ???? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,2,0
472359,PS3005-KRL727 ???? ? ???? ????? ????? ?????,,,3.75,6,5,1,???? ???? PS,ritver,6,0
96725,PS3005-KRL727 ???? ? ???? ????? ????? ????,,,17,30,27,1,???? ???? PS,ritver,4,0
65557877,PS3005-KRL-800 ???? ? ???? ???? ????? ?????,,,4.9,7.5,7,1,???? ???? PS,ritver,6,0
59714,PS3005-KRL-800 ???? ? ???? ???? ????? ????,,,17,30,27,1,???? ???? PS,ritver,4,0
97233309,PS3005-KRL-823 ???? ? ???? ???? ????? ?????,,,4.9,7.5,7,1,???? ???? PS,ritver,6,0
5299102,PS3005-KRL-823 ???? ? ???? ???? ????? ????,,,17,30,27,1,???? ???? PS,ritver,4,0
91660,PS3051 ???? ??? ???? ?????,,,4.9,7.5,7,1,???? ???? PS,ritver,5,0
366916463,PS3051 ???? ??? ???? ????,,,14.3,25,23,1,???? ???? PS,ritver,6,0
839245,PS3051 ???? ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,12,0
3976735,PS3051 ???? ???? ?????,,,14.3,25,23,1,???? ???? PS,ritver,7,0
3681807,PS3051 ???? ??? ???? ?????,,,14.3,25,23,1,???? ???? PS,ritver,8,0
57780709,PS3051 ???? ??? ???? ????,,,14.3,25,23,1,???? ???? PS,ritver,7,0
66241334,PS3051 ???? ???? ???? ????,,,3.75,6,5,1,???? ???? PS,ritver,11,0
593180,PS3105 PU  ???? ???? ???,,,3.75,6,5,1,???? ???? PS,ritver,12,0
173231,PS3105 PU  ???? ???? ?????,,,66.3,110,92,1,????,ritver,1,0
PROD20251226283913b7,PS3105 PU ???? ???? ???,,,14.62,25,23,1,????,ritver,5,0
PROD202512299c9d0cd2,PS3105 PU ???? ???? ?????,,,66.3,110,90,1,????,ritver,1,0
77546847,PS3110 ??????? ????? 12.5 ????,,,14.65,25,23,1,????,ritver,1,0
937170876,PS3251 10%  ????? ???? ?????,,,42.25,65,60,1,????,ritver,2,0
58147,PS3251 10%  ????? ???? ????,,,13.65,24,21,1,???? ???? PS,ritver,4,0
376989,PS3251 100%  ????? ???? ?????,,,3.58,6,5,1,???? ???? PS,ritver,6,0
1281221,PS3251 100%  ????? ???? ????,,,13.65,24,21,1,???? ???? PS,ritver,4,0
710237779,PS3251 50%  ????? ???? ?????,,,3.58,6,5,1,???? ???? PS,ritver,6,0
297943,PS3251 50%  ????? ???? ????,,,13.65,24,21,1,???? ???? PS,ritver,4,0
6086764,PS3472 ??? ???? ???,,,3.58,6,5,1,???? ???? PS,ritver,5,0
PROD202512299d9e1ff8,PS3472 ??? ???? ?????,,,24.38,43,40,1,???? ???? PS,ritver,2,0
35958710,PS3601 ??????? ???? ?????,,,6.2,10,9,1,??????,ritver,3,0
8010618,PS3601 ??????? ???? ????,,,16.7,27,25,1,EPOXY,ritver,4,0
PROD20251226e4381a6f,PS3601 ??????? ???? ?????,,,4.75,7,6.5,1,EPOXY,ritver,6,0
424249970,PS3601 ??????? ???? ????,,,16.7,27,25,1,EPOXY,ritver,3,0
68643934,PS3601+H  ???? ??????? ????,,,4.75,7,6.5,1,EPOXY,ritver,6,0
5131695,PS3601+H ???? ??????? ????,,,8,13.5,11.5,1,EPOXY,ritver,11,0
874666756,PS3601-7040 ??????? ????? ?????,,,2.4,3.5,3.5,1,EPOXY,ritver,18,0
9353,PT2210 ??? ??????? 10 % ?????,,,16.7,27,25,1,EPOXY,ritver,4,0
10407,PT2230 ??? ??????? 30% ???? ?????,,,17.35,29,27,1,???????,ritver,4,0
56413120,PT2250 ??? ??????? 50% ???? ?????,,,17.35,29,27,1,???????,ritver,4,0
78411,PT2299 PU ??? ??????? ???? ?????,,,17.35,29,27,1,???????,ritver,2,0
11304272,PT2310 ???? ??????? ???? ?? ???????? 10 % ?????,,,18.3,29,27,1,???????,ritver,2,0
9769481,PT2330 ???? ??????? ???? ?? ???????? 30% ?????,,,21.9,35,33,1,???????,ritver,4,0
81060791,PT2350 ???? ??????? ???? ?? ???????? 50 % ?????,,,21.9,35,33,1,???????,ritver,4,0
359361586,PT2399 ???? ??????? ???? ?? ???????? ???? ?????,,,21.9,35,33,1,???????,ritver,2,0
61388,PT2710 ???? ??????? ???? 10% ???? ?????,,,24.1,40,36,1,???????,ritver,2,0
8536630,PT2730 ???? ??????? ???? 30% ???? ?????,,,22.25,37,34,1,???????,ritver,2,0
221608350,PT2750 ???? ??????? ???? 50% ???? ?????,,,22.25,37,34,1,???????,ritver,2,0
708017890,PU 310 ml kera koll ???,,,22.25,37,34,1,???????,ritver,1,0
PROD20251226ee3e1f9b,PURC800 ???? ???? ???? ???,,,3.3,5,4.5,1,??????,bchara ghostin,2,0
2393,PW1005 CL ??? ???? ???,,,66.3,110,90,1,????,ritver,4,0
18573060,PW1005 CL ??? ???? ????,,,15.6,25,24,1,??? PW,ritver,3,0
358946,PW1005 ??? ???? ???,,,4.9,7.5,7,1,??? PW,ritver,11,0
580901399,PW1005 ??? ???? ????,,,15.6,25,24,1,??? PW,ritver,8,0
3720827383,PW1612-LEB-20LT ??? ???,,,4.9,7.5,7,1,??? PW,ritver,11,0
542715044,PW1612-LEB-4LT ??? ???,,,24.7,40,37,1,??????? ???????,ritver,2,0
586390,PW2051-100 ???? ???,,,5.95,9,8,1,??????? ???????,ritver,5,0
9768700,PW2051-103 ???? ????? ???,,,17,28,25,1,????,ritver,3,0
636133,PW2505 ?????? ????? ???,,,17,28,25,1,????,ritver,3,0
PROD20251226a3bec50f,PW2505 ?????? ????? ????,,,9.75,15,13.5,1,??? PW,ritver,5,0
8415462,PW2505 ?????? ????? ????,,,1,1.5,1.3,1,??? PW,ritver,10,0
582574,PW2506 ?????? ???? ???,,,3,4.5,4,1,??? PW,ritver,49,0
2807417,PW2506 ?????? ???? ?????,,,9.75,15,14,1,??? PW,ritver,49,0
3582701780,PW2506 ?????? ???? ????,,,3,4.5,4,1,??? PW,ritver,51,0
326173,PW2512 ??????? ???? ???,,,1,1.5,1.5,1,??? PW,ritver,14,0
45456022,PW2512 ??????? ???? ????,,,27,45,42,1,??? PW,ritver,2,0
2344,PW3000 ??? ????? off white ???,,,7.5,11.5,10.5,1,??? PW,ritver,8,0
191523,PW3000 ??? ????? off white ????,,,16.58,26,24,1,??? PW,ritver,22,0
232275,PW3000 ??? ????? ???? ???,,,4.9,7.5,7,1,??? PW,ritver,4,0
849140899,PW3000 ??? ????? ???? ?????,,,16.58,26,24,1,??? PW,ritver,10,0
852741,PW3000-GARDENIA-01 ??? ?????? ???? ???,,,4.9,7.5,7,1,??? PW,ritver,15,0
371359,PW3005 ??? ????? ?????? ???? ???,,,16.58,26,24,1,??? PW,ritver,10,0
5332,PW3005 ??? ????? ?????? ???? ????,,,20.15,34,31,1,??? PW,ritver,10,0
817318,PW3005-09 cool grey ??? ????? ?????? ?????,,,5.7,9,8,1,??? PW,ritver,8,0
46721142,PW3005-BEIGE-06 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
97336,PW3005-BEIGE-06 ??? ????? ?????? ?????,,,20.15,34,31,1,??? PW,ritver,1,0
66265039,PW3005-bonewhite-04 ??? ????? ?????? ???,,,5.7,9,8,1,??? PW,ritver,4,0
